subject_entity_alias,predicate,object_entity_alias,notes
plantStructurePresence,{has quality measurement},measurementDatum,
plantStructurePresence,http://purl.obolibrary.org/obo/RO_0000080,wholePlant,
wholePlant,{is_specified_input_of},phenologicalObservingProcess,
phenologicalObservingProcess,http://purl.obolibrary.org/obo/OBI_0000299,measurementDatum,
